row_type,id,name_or_description,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,notes,extra_A,extra_B
METADATA,83-4729516,Meridian Robotics Corp,C-Corp,"1420 Industrial Blvd, Austin, TX 78744",Industrial Robotics / Warehouse Automation,https://meridianrobotics.io,Vertex Tax Advisors,"James R. Holloway, CPA",2024,ASC,2024-01-01,"Methodology: Qualified researcher interviews and contemporaneous engineering documentation including design change logs, simulation reports, and version-controlled source repositories used to substantiate qualified research expenditures. Disclaimer: This report is prepared solely for federal income tax compliance purposes under IRC Sec. 41.",22400000,18900000
METADATA_EXT,TX,Meridian Robotics Corp,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"Meridian Robotics Corp designs and manufactures autonomous mobile robots (AMRs) for warehouse and fulfillment center operations. Our engineering teams develop proprietary motion planning algorithms, real-time computer vision pipelines, and multi-agent fleet coordination systems that enable robots to navigate dynamic environments, identify and pick diverse SKU types, and operate alongside human workers without pre-programmed routes. Unlike commercially available robot platforms that rely on fixed floor markers or pre-mapped environments, Meridian builds adaptive, sensor-driven systems that must reason about uncertainty in real time — requiring continuous technical experimentation across robotics, computer vision, and distributed systems engineering.","Engineering is the entire foundation of Meridian's business model. Every customer deployment exposes new technical constraints — varying floor conditions, SKU variability, fleet scale, and human workflow integration — that drive continuous R&D cycles. Our development is not project-based in isolation; we maintain concurrent active research programs in navigation, perception, and fleet intelligence, each generating new technical unknowns as deployment environments grow in complexity.","Our engineering team holds advanced degrees in robotics, computer science, and electrical engineering. R&D at Meridian is never incidental — it consumes the majority of our senior engineering capacity. Every product release is preceded by an extensive cycle of hypothesis formulation, simulation-based testing, real-world trial deployment, failure analysis, and redesign. This iterative process is fundamental to our ability to deliver systems that perform reliably in uncontrolled industrial environments."
PROJECT,P001,Adaptive Path Planning Engine v2,Sensor-fusion-based autonomous navigation system for dynamic warehouse environments,2024-01-10,2024-11-30,Completed,"Objective: Achieve sub-50ms replanning latency and zero collision rate in environments with 40+ simultaneously moving agents including humans","Uncertainty: Whether a hybrid D*-Lite and ORCA (Optimal Reciprocal Collision Avoidance) algorithm could be made computationally tractable on embedded ARM Cortex-A72 processors operating at real-time navigation speeds with sensor fusion from 3D LiDAR and depth cameras","Experimentation: Benchmarked pure D*-Lite vs. RRT* vs. hybrid ORCA-D*Lite on Gazebo simulation suite; profiled CPU/memory bottlenecks; restructured occupancy grid resolution dynamically based on agent density; ran 14 distinct algorithm configurations across 3 warehouse simulation environments","Resolution: Confidence established in Q4 2024 after hybrid ORCA-D*Lite implementation achieved 47ms average replanning latency with 0 collisions across 2000-hour simulation runs — validated in controlled real-world trial at Austin pilot site","Failures: Pure D*-Lite exceeded 200ms replanning latency under 40-agent load; RRT* produced oscillatory paths near narrow aisles; first ORCA integration attempt deadlocked when two agents simultaneously claimed the same waypoint; occupancy grid resolution had to be made adaptive after fixed-resolution approach caused memory overflow on ARM hardware",,Development of a new autonomous navigation and collision avoidance system constituting a new business component under IRC Sec. 41(d)(1),"Grounded in robotics engineering, computational geometry, and real-time embedded systems — hard sciences within Sec. 41(d)(1)(B)"
PROJECT,P002,Multi-SKU Vision Pick System,Real-time computer vision pipeline for robotic picking of heterogeneous product types,2024-03-15,2024-12-31,Ongoing,"Objective: Achieve 96%+ pick success rate across 50000+ distinct SKU types including irregular shapes and reflective packaging","Uncertainty: Whether a single convolutional neural network architecture could generalize across 50000+ SKU types in real production lighting conditions without per-SKU fine-tuning, given the extreme variance in object geometry, surface texture, and packaging material","Experimentation: Evaluated YOLOv8 vs. custom two-stage detector vs. instance segmentation with depth integration; tested synthetic data augmentation pipelines using domain randomization; ran ablation studies on grasp pose estimation under variable lighting; benchmarked inference speed on NVIDIA Jetson Orin vs. edge TPU accelerators","Resolution: As of Q4 2024 the two-stage detector with depth-integrated grasp estimation achieved 94.7% pick success on validation SKU set — short of 96% target; domain randomization augmentation significantly improved generalization but reflective packaging remains an open technical challenge; project ongoing","Failures: YOLOv8 single-stage model achieved only 81% success on reflective packaging SKUs; first depth integration attempt introduced 120ms latency spike exceeding pick cycle time budget; three grasp pose estimation architectures discarded due to poor performance on cylindrical objects; synthetic data pipeline initially generated non-photorealistic shadows causing detector to learn spurious lighting features",,Development of a novel multi-SKU robotic vision and grasp planning system constituting a new and improved business component under IRC Sec. 41,"Grounded in computer vision, machine learning, and robotic manipulation — established hard sciences"
EMPLOYEE,E001,Dr. Anika Sharma,Principal Robotics Engineer,Robotics & Motion Planning,Austin TX,195000,0.90,Interview,P001:0.70;P002:0.30,direct_research,,"Dr. Sharma led the algorithmic design and implementation of the hybrid ORCA-D*Lite navigation system for P001. She formulated the mathematical proof of deadlock-freeness for multi-agent waypoint allocation, designed the adaptive occupancy grid architecture, and personally ran all 14 algorithm configuration benchmarks in Gazebo simulation. On P002 she defined the grasp pose estimation problem formulation and led the depth integration architecture design.",FALSE,W2_AnikaSharma_2024.pdf
EMPLOYEE,E002,Rafael Montoya,Senior Computer Vision Engineer,Computer Vision,Austin TX,182000,0.85,Interview,P001:0.25;P002:0.75,direct_research,,"Montoya designed and trained all neural network architectures evaluated for the Multi-SKU Vision Pick System. He built the domain randomization synthetic data pipeline, conducted all ablation studies on detector architecture variants, and benchmarked inference performance across edge hardware platforms. On P001 he developed the 3D LiDAR point cloud preprocessing pipeline used by the navigation sensor fusion module.",FALSE,W2_RafaelMontoya_2024.pdf
EMPLOYEE,E003,Lisa Tran,Embedded Systems Engineer,Embedded & Real-Time Systems,Austin TX,168000,0.80,Interview,P001:0.85;P002:0.15,direct_research,,"Tran implemented the real-time replanning subsystem on ARM Cortex-A72 hardware, profiled and optimized the memory footprint of the occupancy grid data structure, and resolved the CPU bottleneck that blocked the first ORCA integration attempt. She designed the interrupt-driven sensor fusion layer that enables sub-50ms end-to-end navigation response time.",FALSE,W2_LisaTran_2024.pdf
EMPLOYEE,E004,Carlos Nguyen,Robotics Software Engineer,Software Engineering,Austin TX,158000,0.65,Interview,P001:0.40;P002:0.60,direct_research,,"Nguyen developed the simulation test harness in Gazebo used to validate all path planning algorithm variants for P001, scripting the 2000-hour automated test suite. For P002 he built the inference benchmarking framework comparing Jetson Orin vs. edge TPU performance and implemented the pick cycle timing measurement tooling used to detect the 120ms latency regression.",FALSE,W2_CarlosNguyen_2024.pdf
EMPLOYEE,E005,Patricia Osei,VP of Engineering,Engineering Leadership,Austin TX,230000,0.40,Interview,P001:0.50;P002:0.50,supervision,,"Osei supervised the technical direction of both R&D programs, reviewed algorithm design decisions for the navigation system, approved the architectural pivot to the hybrid ORCA-D*Lite approach after the D*-Lite failure, and conducted weekly technical reviews of vision system benchmarking results. She made the decision to adopt domain randomization augmentation after reviewing the YOLOv8 failure analysis prepared by the team.",TRUE,W2_PatriciaOsei_2024.pdf
CONTRACTOR,V001,RoboSim Labs Inc.,"Independent Gazebo simulation environment development, scenario scripting, and stress-test execution for Adaptive Path Planning Engine v2",72000,0.65,TRUE,TRUE,TRUE,Master Services Agreement No. RSL-2024-03,P001:1.0,,,SOW_RoboSimLabs_RSL-2024-03.pdf,
CONTRACTOR,V002,EdgeVision Technologies LLC,"Custom edge inference optimization and Jetson Orin deployment pipeline for Multi-SKU Vision Pick System",48500,0.65,TRUE,TRUE,TRUE,Statement of Work No. EVT-2024-09,P002:1.0,,,SOW_EdgeVision_EVT-2024-09.pdf,
EXPENSE,S001,SICK AG 3D LiDAR Sensor Array (6 units),supply,SICK AG,INV-SICK-2024-0441,34200,1.00,P001:1.0,,,,,INV-SICK-2024-0441.pdf,TRUE
EXPENSE,S002,Intel RealSense D455 Depth Camera Array (12 units),supply,Intel Corporation,INV-INTEL-2024-0887,18600,1.00,P001:0.30;P002:0.70,,,,,INV-INTEL-2024-0887.pdf,TRUE
EXPENSE,S003,NVIDIA Jetson Orin Developer Kits (8 units),supply,NVIDIA Corporation,INV-NVIDIA-2024-1203,22400,1.00,P002:1.0,,,,,INV-NVIDIA-2024-1203.pdf,TRUE
EXPENSE,C001,AWS EC2 P4d GPU Instances for Neural Network Training,cloud,Amazon Web Services,ML Model Training,38500,1.00,P002:1.0,,,,,,
EXPENSE,C002,Azure HPC CycleCloud for Gazebo Simulation Batch Jobs,cloud,Microsoft Azure,Simulation Compute,27800,1.00,P001:1.0,,,,,,
METADATA_GOLDEN,,,,,,,,,,,,"Meridian Robotics Corp's work qualifies as R&D under IRC Section 41 because every project we undertake requires our engineers to confront and resolve genuine technical uncertainty through systematic experimentation. When we started the Adaptive Path Planning Engine, we did not know whether a hybrid ORCA-D*Lite algorithm could achieve real-time replanning on embedded ARM hardware — that question had no answer in any published literature for our specific deployment constraints. We designed experiments, built simulations, encountered failures, discarded approaches, and redesigned from fundamentals until the answer emerged. The same is true for our computer vision system: no off-the-shelf model generalizes to 50000+ industrial SKUs under production lighting. Our engineering process is science — hypothesis, test, failure, iteration, resolution. Every dollar we claim is documented in commit histories, simulation logs, and test reports that trace directly back to the technical uncertainties we were resolving.",,
